Date,Opening Cash,Expenses Shop,Denomination Total,Total Cash,Total Sales POS,Paytm,Cash Withdrawn,Employee 1,Employee 2,Employee 3,Employee 4,Cleaning,Other Expenses Name,Other Expenses Amount,Other Expenses Name_1,Other Expenses Amount_1,500,200,100,50,20,10,5,Cash Difference,Closing Cash
27-03-2024,920,200,2240,2820,3090,990,2000,400,0,0,0,0,0,0,0,0,4,0,0,3,4,1,0,580,240
28-03-2024,240,420,2510,2660,4080,1240,2100,300,0,0,0,100,0,20,0,0,2,0,11,6,5,1,0,150,410
29-03-2024,410,420,2600,2670,3760,1170,2500,300,0,0,0,100,0,0,0,20,5,0,1,0,0,0,0,70,100
30-03-2024,100,720,1800,2220,4270,1830,1600,700,0,0,0,0,0,0,0,20,1,0,11,3,2,1,0,420,200
31-03-2024,200,1200,1820,1634,4070,1436,1600,1200,0,0,0,0,0,0,0,0,3,0,1,1,7,3,0,-186,220
01-04-2024,320,750,1730,1630,3190,1130,1200,700,0,0,0,50,0,0,0,0,1,0,7,4,14,5,0,-100,530
02-04-2024,530,160,1820,1770,2470,1070,1400,0,0,0,0,100,0,30,0,30,2,1,2,1,16,5,0,-50,420
03-04-2024,420,210,3300,3580,4330,960,2900,200,0,0,0,10,0,0,0,0,4,1,7,4,8,4,0,280,400
04-04-2024,400,700,2960,2940,6000,2760,1600,700,0,0,0,0,0,0,0,0,2,3,6,10,10,6,0,-20,1360
05-04-2024,1360,1430,2210,2590,3110,450,1600,200,1000,100,0,100,0,30,0,0,0,1,14,10,4,3,0,380,610
06-04-2024,610,700,1410,2270,2880,1270,1000,700,0,0,0,0,0,0,0,0,1,1,3,6,3,5,0,860,410
07-04-2024,410,1020,3860,4100,6680,1970,3200,500,0,400,0,100,0,20,0,0,3,1,15,11,3,5,0,240,660
08-04-2024,660,840,3050,3330,5160,1650,2400,700,0,0,0,100,0,20,0,20,2,1,12,10,5,5,0,280,650
09-04-2024,650,530,2860,2930,3470,660,2400,400,0,0,0,100,0,30,0,0,3,1,7,6,6,4,0,70,460
10-04-2024,460,530,3920,4090,4840,680,3400,500,0,0,0,0,0,30,0,0,3,2,15,8,6,0,0,170,520
11-04-2024,520,1130,1340,1320,3360,1430,700,400,600,0,0,100,0,30,0,0,0,0,7,8,12,0,0,-20,640
12-04-2024,640,400,2840,2910,3210,540,2000,100,300,0,0,0,0,0,0,0,4,0,0,14,1,12,0,70,840
13-04-2024,840,1500,3400,3610,5670,1400,2900,500,900,0,0,100,0,0,0,0,3,1,12,7,2,11,0,210,500
14-04-2024,500,1330,1460,2120,3570,960,1200,500,700,0,0,100,0,30,0,0,2,0,2,5,0,1,0,660,260
15-04-2024,260,1700,1380,1300,3460,720,1000,700,900,0,0,100,0,0,0,0,2,0,3,1,0,3,0,-80,380
16-04-2024,380,1100,1350,1320,2390,350,1000,500,500,0,0,100,0,0,0,0,2,0,3,1,0,0,0,-30,350
17-04-2024,350,1200,1870,1600,3050,600,1500,400,700,0,0,100,0,0,0,0,3,0,0,6,3,1,0,-270,370
18-04-2024,370,1300,2350,2410,6200,2860,2000,300,1000,0,0,0,0,0,0,0,0,0,20,7,0,0,0,60,350
19-04-2024,350,400,3360,3251,4720,1419,3000,300,0,0,0,100,0,0,0,0,6,0,1,5,0,1,0,-109,360
20-04-2024,360,500,2571,2690,4410,1570,2300,400,0,0,0,100,0,0,0,0,3,1,6,5,0,1,0,119,271
21-04-2024,271,400,1851,1871,2830,830,1600,400,0,0,0,0,0,0,0,0,3,0,1,4,0,4,0,20,251
22-04-2024,251,1200,2751,2411,5070,1710,2300,500,600,0,0,100,0,0,0,0,3,0,8,8,1,2,0,-340,451
23-04-2024,451,400,871,681,1160,450,300,0,300,0,0,100,0,0,0,0,1,0,0,0,15,6,0,-190,571
24-04-2024,571,1200,2141,2321,3750,680,1700,200,600,300,0,100,0,0,0,0,1,0,12,3,11,6,0,180,441
25-04-2024,441,1350,1831,2041,3240,480,1200,450,500,300,0,100,0,0,0,0,2,0,3,4,12,8,0,210,631
26-04-2024,631,900,1931,2241,4130,1620,1600,400,0,400,0,100,0,0,0,0,1,0,11,3,5,7,0,310,331
27-04-2024,331,900,1641,1661,4360,2130,1300,400,0,400,0,100,0,0,0,0,2,1,1,4,2,9,0,20,341
28-04-2024,341,1000,3761,3721,5450,1070,3300,500,0,400,0,100,0,0,0,0,0,9,15,7,3,4,0,-40,461
29-04-2024,461,1100,1361,1341,3320,1220,1000,400,0,700,0,0,0,0,0,0,1,0,5,5,1,8,0,-20,361
